#SAMPLE	BIOSAMPLE	STUDY	ENVIRONMENT	SOURCE_SAMPLE_LINK
ALNE20-1_SAMEA6236704_METAG	SAMEA6236704	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236704/
ALNE20-1_SAMEA6236705_METAG	SAMEA6236705	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236705/
ALNE20-1_SAMEA6236706_METAG	SAMEA6236706	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236706/
ALNE20-1_SAMEA6236707_METAG	SAMEA6236707	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236707/
ALNE20-1_SAMEA6236708_METAG	SAMEA6236708	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236708/
ALNE20-1_SAMEA6236709_METAG	SAMEA6236709	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236709/
ALNE20-1_SAMEA6236710_METAG	SAMEA6236710	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236710/
ALNE20-1_SAMEA6236711_METAG	SAMEA6236711	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236711/
ALNE20-1_SAMEA6236712_METAG	SAMEA6236712	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236712/
ALNE20-1_SAMEA6236713_METAG	SAMEA6236713	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236713/
ALNE20-1_SAMEA6236714_METAG	SAMEA6236714	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236714/
ALNE20-1_SAMEA6236715_METAG	SAMEA6236715	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236715/
ALNE20-1_SAMEA6236716_METAG	SAMEA6236716	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236716/
ALNE20-1_SAMEA6236717_METAG	SAMEA6236717	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236717/
ALNE20-1_SAMEA6236718_METAG	SAMEA6236718	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236718/
ALNE20-1_SAMEA6236719_METAG	SAMEA6236719	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236719/
ALNE20-1_SAMEA6236720_METAG	SAMEA6236720	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236720/
ALNE20-1_SAMEA6236721_METAG	SAMEA6236721	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236721/
ALNE20-1_SAMEA6236722_METAG	SAMEA6236722	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236722/
ALNE20-1_SAMEA6236723_METAG	SAMEA6236723	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236723/
ALNE20-1_SAMEA6236724_METAG	SAMEA6236724	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236724/
ALNE20-1_SAMEA6236725_METAG	SAMEA6236725	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236725/
ALNE20-1_SAMEA6236726_METAG	SAMEA6236726	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236726/
ALNE20-1_SAMEA6236727_METAG	SAMEA6236727	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236727/
ALNE20-1_SAMEA6236728_METAG	SAMEA6236728	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236728/
ALNE20-1_SAMEA6236729_METAG	SAMEA6236729	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236729/
ALNE20-1_SAMEA6236730_METAG	SAMEA6236730	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236730/
ALNE20-1_SAMEA6236731_METAG	SAMEA6236731	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236731/
ALNE20-1_SAMEA6236732_METAG	SAMEA6236732	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236732/
ALNE20-1_SAMEA6236733_METAG	SAMEA6236733	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236733/
ALNE20-1_SAMEA6236734_METAG	SAMEA6236734	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236734/
